connection,time,rxpower,snr,qfactor,chdispcomp,carrieroffset,differentialgroupdelay,ber
0,0,-4.7,17.6,10.4,-1266,0.007,4,0.00046059
1,1,-0.2,17.7,10.4,-815,-0.011,7,0.000406996
2,1,-3.7,16.8,9.9,-5885,-0.043,10,0.000827817
3,2,-0.9,17.2,10.1,-5869,-0.001,7,0.000585622
4,3,-0.3,16.8,9.5,-829,0.104,11,0.001279795
5,4,-5.4,17.3,10.2,-1273,0.061,9,0.000530549
0,608,-4.6,17.6,10.3,-1268,-0.086,5,0.000456017
1,608,-0.2,17.7,10.5,-814,-0.04,7,0.000400259
2,609,-3.8,16.8,9.9,-5889,-0.11,9,0.000818641
3,610,-0.8,17.2,10.1,-5871,0.111,8,0.000617421
4,611,-0.3,16.8,9.5,-822,0.085,11,0.001279684
5,612,-5.4,17.5,10.3,-1267,0.034,9,0.000534106
0,643,-4.7,17.5,10.3,-1264,-0.02,5,0.000459395
1,643,-0.2,17.7,10.5,-814,-0.017,7,0.000411769
2,644,-3.8,16.9,9.9,-5889,-0.109,8,0.000785021
3,645,-0.8,17,10.1,-5871,0.144,8,0.000641739
4,646,-0.2,16.9,9.5,-824,0.097,10,0.0012677
5,647,-5.4,17.2,10.3,-1268,0.047,9,0.000536698
0,678,-4.7,17.4,10.3,-1272,0.012,5,0.000496522
1,678,-0.2,17.7,10.5,-814,-0.021,7,0.000383253
2,679,-3.8,16.9,9.9,-5889,-0.029,7,0.000838812
3,680,-0.9,17.2,10.1,-5870,0.163,10,0.000601417
4,681,-0.3,16.7,9.5,-827,0.05,11,0.00137082
5,682,-5.4,17.5,10.3,-1273,0.04,9,0.000509397
0,713,-4.7,17.5,10.4,-1267,0.028,5,0.000454502
1,714,-0.2,17.6,10.4,-817,-0.077,7,0.000418176
2,714,-3.8,16.9,9.9,-5889,-0.115,9,0.000812969
3,715,-0.8,17.1,10.1,-5871,-0.015,11,0.000628809
4,716,-0.3,16.7,9.5,-824,0.037,11,0.001291059
5,717,-5.4,17.3,10.3,-1266,0.009,9,0.000529373
0,748,-4.7,17.6,10.4,-1265,0.029,5,0.000454139
1,749,-0.2,17.7,10.5,-814,-0.034,7,0.000389545
2,749,-3.8,16.9,9.9,-5890,-0.15,11,0.000817779
3,750,-0.9,17,10.1,-5874,0.03,6,0.0006252
4,751,-0.3,16.9,9.5,-827,0.064,11,0.001350384
5,753,-5.4,17.3,10.3,-1273,0.033,9,0.000518021
0,784,-4.7,17.5,10.3,-1269,0.018,5,0.000515534
1,784,-0.2,17.8,10.4,-814,-0.071,7,0.000403969
2,785,-3.7,16.7,9.9,-5889,-0.135,9,0.000855058
3,786,-0.8,17.2,10.1,-5867,0.087,6,0.000643493
4,787,-0.3,16.8,9.5,-826,0.131,10,0.001262402
5,788,-5.4,17.5,10.2,-1269,0.005,9,0.000513751
0,819,-4.6,17.5,10.4,-1263,0.046,5,0.000455541
1,819,-0.2,17.7,10.5,-814,-0.058,7,0.000412305
2,820,-3.8,16.8,9.9,-5887,-0.13,10,0.000843912
3,821,-0.8,17.2,10.1,-5874,0.056,7,0.000638123
4,822,-0.3,16.7,9.5,-826,0.077,10,0.001288212
5,823,-5.4,17.4,10.3,-1269,0.028,9,0.000525424
0,854,-4.7,17.5,10.4,-1266,0.031,4,0.000450281
1,854,-0.2,17.7,10.4,-815,-0.055,7,0.000432143
2,855,-3.8,16.7,9.9,-5892,-0.044,10,0.000833246
3,856,-0.8,17,10.1,-5872,0.004,11,0.000675647
4,857,-0.3,16.8,9.5,-825,0.086,11,0.001371065
5,858,-5.4,17.3,10.2,-1273,0.037,10,0.00053745
0,889,-4.7,17.5,10.4,-1265,-0.064,4,0.000475877
1,889,-0.2,17.7,10.4,-816,-0.089,7,0.000398666
2,890,-3.8,16.9,9.9,-5888,-0.082,11,0.000871393
3,891,-0.8,17.2,10.1,-5872,0.029,7,0.000683807
4,892,-0.3,16.8,9.5,-825,0.127,10,0.001278777
5,893,-5.4,17.3,10.3,-1273,0.01,9,0.000514314
0,924,-4.7,17.6,10.3,-1264,-0.021,5,0.00046631
