channel,time,qfactor
Channel 1,0.0,10.3
Channel 1,2.322,10.3
Channel 1,4.533,10.3
Channel 1,7.086,10.3
Channel 1,9.413,10.3
Channel 1,11.725,10.3
Channel 1,14.127,10.3
Channel 1,16.498,10.3
Channel 1,18.86,10.3
Channel 1,21.294,10.3
Channel 1,23.647,10.4
Channel 1,26.065,10.4
Channel 1,28.499,10.4
Channel 1,30.876,10.4
Channel 1,33.254,10.4
Channel 1,35.526,10.4
Channel 1,38.019,10.3
Channel 1,40.411,10.3
Channel 1,42.756,10.3
Channel 1,45.225,10.3
Channel 1,47.883,10.4
Channel 1,50.459,10.4
Channel 1,52.984,10.4
Channel 1,55.418,10.4
Channel 1,57.787,10.3
Channel 1,60.3,10.3
Channel 1,62.68,10.4
Channel 1,65.071,10.4
Channel 1,67.441,10.4
Channel 1,69.615,10.4
Channel 1,72.111,10.3
Channel 1,74.316,10.4
Channel 1,76.782,10.4
Channel 1,79.088,10.3
Channel 1,81.611,10.4
Channel 1,83.921,10.4
Channel 1,86.166,10.3
Channel 1,88.711,10.3
Channel 1,91.189,10.3
Channel 1,93.931,10.3
Channel 1,96.272,10.3
Channel 1,98.633,10.3
Channel 1,101.165,10.3
Channel 1,103.724,10.3
Channel 1,106.153,10.3
Channel 1,108.528,10.3
Channel 1,110.835,10.3
Channel 1,113.069,10.3
Channel 1,115.423,10.3
Channel 1,117.747,10.3
Channel 1,120.177,10.3
Channel 1,122.635,10.3
Channel 1,125.028,10.2
Channel 1,127.968,10.2
Channel 1,130.505,10.2
Channel 1,132.999,10.2
Channel 1,135.433,10.2
Channel 1,138.056,10.1
Channel 1,140.532,10.1
Channel 1,142.997,10.1
Channel 1,145.964,10.1
Channel 1,148.502,10.1
Channel 1,150.847,10.1
Channel 1,153.3,10.1
Channel 1,155.671,10.1
Channel 1,158.101,10.1
Channel 1,160.379,10.1
Channel 1,162.873,10.1
Channel 1,165.104,10.1
Channel 1,167.392,10.1
Channel 1,169.644,10.1
Channel 1,171.975,10.1
Channel 1,174.27,10.1
Channel 1,176.466,10.1
Channel 1,178.955,10.1
Channel 1,181.491,10.1
Channel 1,183.726,10.1
Channel 1,186.253,10.1
Channel 1,188.783,10.1
Channel 1,191.21,10.1
Channel 1,193.708,10.1
Channel 1,195.993,10.1
Channel 1,198.45,10.1
Channel 1,200.885,10.1
Channel 1,203.261,10.1
Channel 1,205.763,10.1
Channel 1,208.058,10.1
Channel 1,210.327,10.1
Channel 1,212.678,10.1
Channel 1,215.007,10.1
Channel 1,217.474,10.1
Channel 1,219.798,10.1
Channel 1,222.201,10.1
Channel 1,224.551,10.1
Channel 1,227.036,10.1
Channel 1,229.377,10.1
Channel 1,231.731,10.1
Channel 1,234.219,10.1
Channel 1,236.666,10.1
Channel 1,239.139,10.1
Channel 1,241.503,10.1
Channel 1,243.887,10.1
Channel 1,246.275,10.1
Channel 1,248.586,10.1
Channel 1,250.98,10.1
Channel 1,253.366,10.1
Channel 1,255.692,10.1
Channel 1,258.198,10.1
Channel 1,260.591,10.1
Channel 1,263.001,10.1
Channel 1,265.35,10.1
Channel 1,267.908,10.1
Channel 1,270.279,10.1
Channel 1,272.75,10.1
Channel 1,275.047,10.1
Channel 1,277.591,10.1
Channel 1,280.087,10.1
Channel 1,282.518,10.1
Channel 1,284.751,10.1
Channel 1,287.203,10.1
Channel 1,289.658,10.1
Channel 1,292.044,10.1
Channel 1,294.531,10.1
Channel 1,296.968,10.1
Channel 1,299.241,10.1
Channel 1,301.624,10.1
Channel 1,304.107,10.1
Channel 1,306.502,10.1
Channel 1,308.919,10.1
Channel 1,311.598,10.1
Channel 1,314.083,10.1
Channel 1,316.53,10.1
Channel 1,318.742,10.1
Channel 1,321.028,10.1
Channel 1,323.474,10.1
Channel 1,325.935,10.1
Channel 1,328.281,10.1
Channel 1,330.713,10.1
Channel 1,333.18,10.1
Channel 1,335.752,10.1
Channel 1,338.132,10.1
Channel 1,340.534,10.1
Channel 1,343.002,10.1
Channel 1,345.36,10.1
Channel 1,347.787,10.1
Channel 1,350.267,10.1
Channel 1,352.714,10.1
Channel 1,355.17,10.1
Channel 1,357.633,10.1
Channel 1,359.983,10.1
Channel 1,362.31,10.1
Channel 1,364.828,10.1
Channel 1,367.247,10.1
Channel 1,369.627,10.1
Channel 1,372.079,10.1
Channel 1,374.423,10.1
Channel 1,376.842,10.1
Channel 1,379.274,10.1
Channel 1,381.749,10.1
Channel 1,384.073,10.1
Channel 1,386.433,10.1
Channel 1,388.789,10.1
Channel 1,391.207,10.1
Channel 1,393.907,10.1
Channel 1,396.224,10.1
Channel 1,398.53,10.1
Channel 1,400.863,10.1
Channel 1,403.083,10.1
Channel 1,405.573,10.1
Channel 1,407.794,10.1
Channel 1,410.156,10.1
Channel 1,412.461,10.1
Channel 1,414.859,10.1
Channel 1,417.195,10.1
Channel 1,419.679,10.1
Channel 1,422.007,10.1
Channel 1,424.325,10.1
Channel 1,426.871,10.1
Channel 1,429.884,10.1
Channel 1,432.354,10.1
Channel 1,434.742,10.1
Channel 1,437.137,10.1
Channel 1,439.67,10.1
Channel 1,442.182,10.1
Channel 1,444.395,10.0
Channel 1,446.712,10.1
Channel 1,449.126,10.1
Channel 1,451.458,10.1
Channel 1,453.856,10.1
Channel 1,456.301,10.1
Channel 1,458.523,10.1
Channel 1,461.142,10.1
Channel 1,463.687,10.0
Channel 1,465.982,10.0
Channel 1,468.376,10.0
Channel 1,470.768,10.0
Channel 1,473.255,10.0
Channel 1,475.72,10.0
Channel 1,478.037,10.0
Channel 1,480.322,10.0
Channel 1,482.701,10.0
Channel 1,485.07,10.0
Channel 1,487.487,10.0
Channel 1,489.794,10.0
Channel 1,492.34,10.0
Channel 1,494.883,10.1
Channel 1,497.256,10.0
Channel 1,499.57,10.0
Channel 1,501.994,10.0
Channel 1,504.355,10.0
Channel 1,506.832,10.0
Channel 1,509.308,10.0
Channel 1,511.852,10.0
Channel 1,514.191,10.0
Channel 1,517.223,10.1
Channel 1,519.741,10.0
Channel 1,522.184,10.0
Channel 1,524.691,10.0
